Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Danila Zhuravlyov,"$855,000","$842,500",2,1%,24,72in,163lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,No Agent
Jachym Kondelik,"$855,000","$842,500",2,1%,24,79in,236lbs,C,L,2027,Entry Level,No Signing Status,RFA,2022,2023-24,No Agent
Declan Carlile,"$855,000","$867,500",2,1%,23,74in,192lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Peter Fish
Santtu Kinnunen,"$855,000","$867,500",2,1%,25,74in,165lbs,D,R,2026,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Simo Niiranen
Pavol Regenda,"$855,000","$867,500",2,1%,24,75in,218lbs,LW,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,J.P. Barry
Peetro Seppala,"$855,000","$867,500",2,1%,23,74in,192lbs,D,L,2028,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Andrew Maloney
Calle Sjalin,"$855,000","$867,500",2,1%,24,73in,179lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,J.P. Barry
Samuel Walker,"$855,000","$867,500",2,1%,24,70in,174lbs,C,R,2026,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Neil Sheehy
Ruslan Iskhakov,"$855,000","$867,500",2,1%,23,68in,165lbs,C,L,2028,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Daniel Milstein
Simon Johansson,"$855,000","$867,500",2,1%,24,74in,194lbs,D,R,2026,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Kurt Overhardt
Sam Hentges,"$855,000","$867,500",2,1%,24,72in,174lbs,C,R,2027,Entry Level,No Signing Status,RFA,2022,2023-24,Edward Ward
Graeme Clarke,"$850,833","$867,500",3,1%,22,72in,174lbs,RW,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Randy Robitaille
Juuso Parssinen,"$850,833","$867,500",3,1%,23,75in,212lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Jerry Buckley
Oskar Back,"$850,833","$867,500",3,1%,24,74in,205lbs,C,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,J.P. Barry
Tyler Angle,"$850,833","$867,500",3,1%,23,70in,172lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Patrick Morris
Brandon Coe,"$850,833","$867,500",3,1%,22,76in,190lbs,RW,R,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Andy Scott
Marc Del Gaizo,"$850,833","$867,500",3,1%,24,71in,187lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,Michael Curran
Louis Crevier,"$850,833","$867,500",3,1%,22,80in,227lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Paul Corbeil
Santeri Hatakka,"$850,833","$867,500",3,1%,23,73in,192lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,J.P. Barry
Michael Vukojevic,"$850,833","$867,500",3,1%,22,75in,216lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Robert Hooper
Filip Cederqvist,"$850,000","$866,667",2,1%,23,74in,203lbs,LW,L,2028,Entry Level,No Signing Status,RFA +arb,2022,2023-24,No Agent
Jack Rathbone,"$850,000","$950,000",2,1%,24,71in,190lbs,D,L,2026,Standard,RFA,UFA-Group6,2022,2023-24,Jerry Buckley
Urho Vaakanainen,"$850,000","$900,000",2,1%,25,74in,201lbs,D,L,2026,Standard,RFA,RFA +arb,2022,2023-24,Mika Rautakallio
Sam Steel,"$850,000","$850,000",1,1%,26,71in,183lbs,C,L,2025,Standard,UFA no QO,RFA +arb,2023,2023-24,Gerry Johannson
Dylan Coghlan,"$850,000","$850,000",1,1%,26,74in,207lbs,D,R,2025,Standard,RFA +arb,RFA +arb,2023,2023-24,Dave Cowan
Adam Raska,"$848,333","$865,000",3,1%,22,70in,183lbs,RW,R,2029,Entry Level,No Signing Status,RFA,2021,2023-24,Allan Walsh
Karel Plasek,"$846,667","$830,000",3,1%,23,72in,181lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Michael Deutsch
