Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Michael McLeod,N.J,"$1,400,000","$1,400,000",1.0,1.7%,2025.0,Standard,RFA +arb,2023-24,Joseph Resnick
Brett Murray,BUF,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,David Gagner
Brett Murray,BUF,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,David Gagner
Filip Hronek,VAN,"$4,400,000","$5,500,000",3.0,5.3%,2025.0,Standard,RFA +arb,2023-24,Allan Walsh
Jacob MacDonald,S.J,"$762,500","$775,000",2.0,0.9%,2020.0,Standard,UFA,2023-24,Richard Evans
Troy Stecher,EDM,"$1,100,000","$1,100,000",1.0,1.3%,2021.0,Standard,UFA,2023-24,Eustace King
Nikita Zaitsev,CHI,"$4,500,000","$4,500,000",7.0,5.4%,2019.0,Standard,UFA,2023-24,Daniel Milstein
Rem Pitlick,CHI,"$1,100,000","$1,100,000",2.0,1.3%,2024.0,Standard,UFA,2023-24,No Agent
Brandon Duhaime,MIN,"$1,100,000","$1,100,000",1.0,1.3%,2024.0,Standard,UFA,2023-24,Richard Evans
Hardy Haman Aktell,WSH,"$870,000","$870,000",1.0,1%,2026.0,Entry Level,RFA +arb,2023-24,Craig Oster
Oskar Steen,BOS,"$800,000","$800,000",2.0,1%,2025.0,Standard,UFA-Group6,2023-24,Joakim Persson
Oskar Steen,BOS,"$800,000","$800,000",2.0,1%,2025.0,Standard,UFA-Group6,2023-24,Joakim Persson
Matthew Phillips,WSH,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Matthew Phillips,WSH,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Allain Roy
Vincent Desharnais,EDM,"$762,500","$775,000",2.0,0.9%,2023.0,Standard,UFA,2023-24,Philippe Lecavalier
Zach Aston-Reese,DET,"$775,000","$775,000",1.0,0.9%,2022.0,Standard,UFA,2023-24,Daniel Milstein
Mason Shaw,MIN,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Kevin Epp
Juuso Valimaki,ARI,"$1,000,000","$1,000,000",1.0,1.2%,2026.0,Standard,RFA +arb,2023-24,Dave Cowan
Kailer Yamamoto,SEA,"$1,500,000","$1,500,000",1.0,1.8%,2026.0,Standard,RFA +arb,2023-24,J.P. Barry
Kole Lind,SEA,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Gerry Johannson
Kole Lind,SEA,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Gerry Johannson
Jaret Anderson-Dolan,L.A,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,J.P. Barry
Casey Mittelstadt,COL,"$2,500,000","$2,600,000",3.0,3%,2026.0,Standard,RFA +arb,2023-24,Neil Sheehy
Urho Vaakanainen,ANA,"$850,000","$900,000",2.0,1%,2026.0,Standard,RFA +arb,2023-24,Mika Rautakallio
Jesper Boqvist,BOS,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Peter Wallen
Adam Ruzicka,CGY,"$762,500","$750,000",2.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Craig Oster
Eeli Tolvanen,SEA,"$1,450,000","$1,450,000",3.0,1.7%,2026.0,Standard,RFA +arb,2023-24,Michael Curran
Jack Studnicka,VAN,"$762,500","$775,000",2.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Darren Ferris
Shane Bowers,N.J,"$775,000","$775,000",1.0,0.9%,2027.0,Standard,RFA +arb,2023-24,Judd Moldaver
Henri Jokiharju,BUF,"$2,500,000","$2,600,000",3.0,3%,2026.0,Standard,RFA +arb,2023-24,Markus Lehto
Martin Necas,CAR,"$3,000,000","$3,500,000",2.0,3.6%,2026.0,Standard,RFA +arb,2023-24,Michael Deutsch
Timothy Liljegren,TOR,"$1,400,000","$1,500,000",2.0,1.7%,2026.0,Standard,RFA +arb,2023-24,Peter Wallen
Pierre-Olivier Joseph,PIT,"$825,000","$850,000",2.0,1%,2027.0,Standard,RFA +arb,2023-24,Olivier Fortier
Ian Mitchell,BOS,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Gregory Landry
Erik Brannstrom,OTT,"$2,000,000","$2,000,000",1.0,2.4%,2027.0,Standard,RFA +arb,2023-24,Craig Oster
Alexandre Texier,CBJ,"$1,525,000","$1,750,000",2.0,1.8%,2027.0,Standard,RFA +arb,2023-24,Markus Lehto
Cameron Crotty,ARI,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Murray Koontz
Cameron Crotty,ARI,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,UFA-Group6,2023-24,Murray Koontz
Nick DeSimone,N.J,"$762,500","$775,000",2.0,0.9%,2022.0,Standard,UFA,2023-24,Allan Walsh
Calle Rosen,STL,"$762,500","$775,000",2.0,0.9%,2021.0,Standard,UFA,2023-24,Kurt Overhardt
Jacob Bryson,BUF,"$1,850,000","$1,900,000",2.0,2.2%,2025.0,Standard,RFA +arb,2023-24,Allain Roy
