Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zac Dalpe,FLA,C,1,6.1333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,25.00
Travis Hamonic,"OTT, VAN",D,43,725.41666666667,4,6,2,4,10,30.30,78,5.13,3.37,165,104,41,4,0,8,14,7,7,0,0,4,29,5,71,62,72,0,0,-
Derek Stepan,CAR,C,58,566.46666666667,9,10,6,4,19,76.00,90,10.00,10.21,137,117,84,40,5,16,14,7,7,0,0,4,11,17,28,50,23,206,172,54.50
Marco Scandella,STL,D,70,1109.6666666667,3,9,4,5,12,19.35,69,4.35,4.19,133,97,40,12,2,5,18,9,9,0,0,1,34,17,97,78,44,0,0,-
Michael Stone,CGY,D,11,170.73333333333,1,3,0,3,4,57.14,17,5.88,0.49,49,26,9,0,0,1,4,2,2,0,0,0,4,1,24,15,14,0,0,-
Adam Henrique,ANA,C,58,878.16666666667,13,18,10,8,31,59.62,118,11.02,15.08,197,166,139,74,9,20,12,6,6,0,0,6,19,17,18,41,42,195,165,54.17
TJ Brodie,TOR,D,82,1539.3666666667,4,21,10,11,25,31.65,66,6.06,2.99,154,93,40,10,1,6,28,14,14,0,0,8,56,27,46,144,91,0,0,-
Gustav Nyquist,CBJ,C,82,1163.4833333333,10,29,19,10,39,52.00,95,10.53,9.4,164,127,103,45,3,15,22,11,11,0,0,13,23,37,36,81,41,8,11,42.11
Derek Grant,ANA,C,71,811.66666666667,12,13,8,5,25,80.65,99,12.12,10.94,166,132,90,55,3,10,27,8,6,1,1,3,15,13,67,34,39,114,115,49.78
Greg Pateryn,ANA,D,10,115.95,1,1,1,0,2,33.33,14,7.14,0.48,21,19,4,0,1,1,10,5,5,0,0,0,3,0,17,21,6,0,0,-
Mark Borowiecki,NSH,D,57,641.48333333333,0,4,2,2,4,19.05,43,0.00,1.65,89,65,22,6,2,2,144,35,17,14,4,27,13,5,183,72,57,0,0,-
Matt Martin,NYI,L,71,800.85,3,4,3,1,7,30.43,65,4.62,7.36,105,85,62,35,3,5,70,22,15,6,1,17,17,11,235,61,24,8,11,42.11
Cam Atkinson,PHI,R,73,1007.2666666667,18,24,20,4,42,72.41,156,11.54,15.42,243,198,143,73,11,20,8,4,4,0,0,6,20,29,19,31,35,4,7,36.36
Jared Spurgeon,MIN,D,65,1047.0333333333,10,16,8,8,26,36.62,96,10.42,4.27,187,127,59,11,6,8,10,5,5,0,0,3,9,8,38,79,58,0,0,-
Luke Witkowski,DET,D,1,9.3,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,-
Jordie Benn,MIN,D,39,545.88333333333,0,7,4,3,7,24.14,33,0.00,1.15,73,50,14,1,3,3,10,5,5,0,0,0,14,6,47,46,35,0,0,-
Antoine Roussel,ARI,L,53,548.31666666667,4,4,4,0,8,66.67,56,7.14,6.55,97,80,60,33,3,9,57,15,11,1,3,13,14,8,69,70,23,12,14,46.15
Tyler Johnson,CHI,C,26,276.31666666667,3,2,1,1,5,50.00,24,12.50,2.2,41,33,28,8,0,3,12,6,6,0,0,4,3,5,36,17,7,27,17,61.36
Mike Hoffman,MTL,C,67,954.51666666667,11,11,5,6,22,61.11,108,10.19,8.69,194,147,83,30,5,15,32,16,16,0,0,10,39,32,26,41,24,8,6,57.14
Tyler Bozak,STL,C,50,524.01666666667,2,7,3,4,9,75.00,41,4.88,3.47,66,50,41,18,2,4,12,6,6,0,0,4,8,14,20,28,15,158,183,46.33
Marcus Johansson,"SEA, WSH",L,69,934.46666666667,6,13,8,5,19,54.29,88,6.82,8.57,147,114,97,45,6,14,4,2,2,0,0,8,18,25,29,64,23,23,34,40.35
