Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Zach Aston-Reese,"ANA, PIT","C, L",69,3.1166666666667,0,0,0,0,0,-,1,0.00,0.03,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Gavin Bayreuther,CBJ,D,43,1.5333333333333,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Vinni Lettieri,ANA,C,31,51.216666666667,2,3,1,2,5,62.50,10,20.00,0.84,17,13,7,2,0,1,0,0,0,0,0,0,3,0,3,5,0,2,0,100.00
Nolan Patrick,VGK,C,25,41.75,0,2,1,1,2,100.00,5,0.00,1.32,9,8,7,4,0,2,0,0,0,0,0,0,3,2,2,0,0,9,7,56.25
Juuso Valimaki,CGY,D,9,1.0333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Kailer Yamamoto,EDM,R,81,66.583333333333,3,3,3,0,6,66.67,14,21.43,2.98,16,16,14,12,0,2,2,1,1,0,0,0,1,0,2,2,0,0,0,-
Nicolas Hague,VGK,D,52,20.816666666667,0,0,0,0,0,0.00,8,0.00,0.7,10,9,6,1,0,3,2,1,1,0,0,0,0,0,0,2,0,0,0,-
Jonah Gadjovich,S.J,L,43,0.28333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Conor Timmins,ARI,D,6,4.7166666666667,0,0,0,0,0,-,0,-,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Mario Ferraro,S.J,D,63,35.666666666667,0,0,0,0,0,0.00,3,0.00,0.44,9,7,2,0,0,1,2,1,1,0,0,0,1,2,1,2,0,0,0,-
Cal Foote,T.B,D,56,1.2333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Cale Fleury,SEA,D,9,0.13333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Kole Lind,SEA,R,23,2.0333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Morgan Geekie,SEA,C,73,98.766666666667,0,4,0,4,4,57.14,21,0.00,2.42,38,30,16,4,1,2,2,1,1,0,0,0,3,0,5,4,0,15,17,46.88
Jake Leschyshyn,VGK,C,41,1.2833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.00
Michael Rasmussen,DET,C,80,71.733333333333,0,2,2,0,2,33.33,11,0.00,1.84,15,15,11,11,1,2,6,2,2,0,0,1,0,1,0,8,0,36,24,60.00
Jaret Anderson-Dolan,L.A,C,7,2.3833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Cody Glass,NSH,C,8,15.1,0,0,0,0,0,0.00,1,0.00,0.27,4,3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,57.14
Mikey Anderson,L.A,D,57,7.4333333333333,0,0,0,0,0,-,0,-,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Casey Mittelstadt,BUF,C,40,100.38333333333,1,6,3,3,7,58.33,16,6.25,1.61,27,21,13,4,0,4,0,0,0,0,0,0,3,2,2,5,0,34,37,47.89
Urho Vaakanainen,"ANA, BOS",D,29,10.166666666667,0,1,1,0,1,50.00,1,0.00,0.06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nico Hischier,N.J,C,70,197.73333333333,4,8,2,6,12,52.17,38,10.53,6.06,70,57,50,22,2,5,2,1,1,0,0,1,1,0,4,11,0,134,91,59.56
Jesper Boqvist,N.J,C,56,27.266666666667,0,1,1,0,1,50.00,1,0.00,0.28,6,3,3,1,0,0,0,0,0,0,0,0,3,0,0,1,0,7,7,50.00
Kristian Vesalainen,WPG,L,53,5.2166666666667,0,0,0,0,0,-,1,0.00,0.49,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jonas Rondbjerg,VGK,R,30,0.93333333333333,0,0,0,0,0,-,1,0.00,0.12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Adam Ruzicka,CGY,C,28,6.35,0,0,0,0,0,-,0,-,0.21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,25.00
Eeli Tolvanen,NSH,R,75,136.21666666667,1,5,2,3,6,35.29,32,3.13,3.32,55,46,27,5,1,2,0,0,0,0,0,1,3,0,1,3,0,0,0,-
Klim Kostin,STL,C,40,1.65,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Elias Pettersson,VAN,C,80,257.58333333333,10,17,9,8,27,60.00,52,19.23,5.74,127,88,58,5,0,2,2,1,1,0,0,1,9,4,4,15,0,15,17,46.88
Gabriel Vilardi,L.A,C,25,44.8,2,0,0,0,2,66.67,12,16.67,1.45,14,13,9,7,0,1,0,0,0,0,0,1,1,0,0,3,0,13,17,43.33
Owen Tippett,"FLA, PHI",R,63,107.05,1,2,2,0,3,25.00,21,4.76,1.95,33,24,13,6,0,3,2,1,1,0,0,0,2,1,1,4,0,4,3,57.14
Nick Suzuki,MTL,C,82,252.38333333333,8,12,6,6,20,71.43,43,18.60,5.17,86,56,42,9,0,7,4,2,2,0,0,0,6,3,1,10,3,100,98,50.51
Isaac Ratcliffe,PHI,L,10,10.266666666667,0,2,0,2,2,100.00,0,-,0.16,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,-
Jack Studnicka,BOS,C,15,2.55,0,0,0,0,0,-,2,0.00,0.82,3,3,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-
Robert Thomas,STL,C,72,147.31666666667,3,11,6,5,14,58.33,19,15.79,2.64,37,30,30,9,0,2,4,2,2,0,0,0,7,1,0,4,0,67,59,53.17
MacKenzie Entwistle,CHI,R,55,4.9333333333333,0,0,0,0,0,-,0,-,0.13,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jason Robertson,DAL,L,74,198.11666666667,13,8,5,3,21,58.33,44,29.55,7.03,71,58,53,28,0,6,4,2,2,0,0,0,6,2,1,7,1,0,0,-
Morgan Frost,PHI,C,55,103.7,1,1,0,1,2,25.00,15,6.67,1.87,26,19,12,7,0,3,0,0,0,0,0,0,3,0,2,1,0,23,13,63.89
Alex Formenton,OTT,L,79,67.033333333333,0,0,0,0,0,0.00,6,0.00,0.96,16,12,10,4,0,2,2,1,1,0,0,1,3,3,2,10,0,0,0,-
Max Comtois,ANA,L,52,83.366666666667,0,2,2,0,2,28.57,9,0.00,1.75,16,13,10,8,0,1,2,1,1,0,0,0,4,1,4,4,0,11,5,68.75
Henri Jokiharju,BUF,D,60,66.083333333333,0,4,0,4,4,50.00,10,0.00,0.54,12,11,0,0,0,1,0,0,0,0,0,0,3,0,2,1,1,0,0,-
Miro Heiskanen,DAL,D,70,160.56666666667,3,8,6,2,11,61.11,26,11.54,2.87,49,37,24,7,0,4,2,1,1,0,0,1,10,3,1,5,0,0,0,-
Aleksi Heponiemi,FLA,C,6,0.7,0,1,0,1,1,100.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Martin Necas,CAR,C,78,128.63333333333,2,2,2,0,4,44.44,24,8.33,2.28,41,32,12,2,0,3,0,0,0,0,0,1,12,0,1,5,0,5,11,31.25
Timothy Liljegren,TOR,D,61,18.783333333333,1,1,0,1,2,100.00,1,100.00,0.1,2,2,1,0,0,0,2,1,1,0,0,0,1,0,0,1,0,0,0,-
Dylan Samberg,WPG,D,15,0.38333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Sasha Chmelevski,S.J,C,19,1.9333333333333,0,0,0,0,0,-,0,-,0.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,66.67
Reilly Walsh,N.J,D,1,0.98333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jack Rathbone,VAN,D,9,4.9666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Pierre-Olivier Joseph,PIT,D,4,0.4,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Scott Reedy,S.J,C,35,54.433333333333,3,0,0,0,3,50.00,9,33.33,2.26,15,15,14,8,0,2,2,1,1,0,0,0,1,0,0,3,1,7,7,50.00
Josh Norris,OTT,C,66,213.2,16,7,1,6,23,63.89,68,23.53,8.0,133,104,74,9,0,5,0,0,0,0,0,2,8,3,1,10,0,38,29,56.72
Ryan Poehling,MTL,C,57,77.783333333333,2,0,0,0,2,40.00,11,18.18,2.19,15,14,14,12,0,1,0,0,0,0,0,0,3,1,0,5,0,20,16,55.56
