"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"140","Bryan Rust","PIT","R","61","943.3","24","22","13","9","46","58.97","150","16.00","18.51","260","221","169","78","9","29","18","9","9","0","0","10","22","25","35","58","41","0","3","0.00"
"468","Clayton Keller","ARI","R","77","1225.0833333333","24","22","16","6","46","80.70","169","14.20","16.41","327","246","167","56","10","25","28","14","14","0","0","28","40","41","17","88","29","23","32","41.82"
"488","Jordan Kyrou","STL","C","81","1246.6333333333","23","23","17","6","46","70.77","207","11.11","17.09","398","293","207","66","15","32","20","10","10","0","0","13","49","45","25","93","32","3","6","33.33"
"524","Trevor Moore","L.A","L","81","1171.2","26","20","12","8","46","73.02","199","13.07","22","352","289","162","79","11","32","22","10","10","0","0","17","24","28","84","128","48","12","34","26.09"
"623","Evan Bouchard","EDM","D","80","1536.6666666667","10","36","13","23","46","41.82","159","6.29","8.01","353","221","97","13","6","29","30","15","15","0","0","10","76","49","63","108","101","0","0","-"
"19","Kris Letang","PIT","D","81","1624.8666666667","10","35","15","20","45","45.92","140","7.14","6.66","356","207","80","12","3","30","58","25","24","0","1","12","54","40","106","106","104","0","0","-"
"78","Victor Hedman","T.B","D","78","1471.25","9","36","21","15","45","47.37","119","7.56","7.94","299","201","88","16","3","25","58","21","19","0","2","9","41","22","51","59","86","0","0","-"
"296","Max Domi","TOR","C","80","999.18333333333","8","37","23","14","45","67.16","122","6.56","9.34","213","165","95","44","11","14","114","32","22","6","4","17","38","24","46","61","21","196","198","49.75"
"398","Dylan Strome","WSH","C","82","1227.5833333333","21","24","17","7","45","76.27","125","16.80","16.2","242","186","158","80","7","24","20","10","10","0","0","10","26","39","11","39","59","529","507","51.06"
"409","Zach Werenski","CBJ","D","70","1425.6833333333","9","36","17","19","45","48.91","172","5.23","9.24","373","241","117","27","6","35","16","8","8","0","0","3","25","34","18","40","120","0","0","-"
"556","Owen Tippett","PHI","R","78","1082.5166666667","23","22","16","6","45","76.27","231","9.96","18.46","432","328","198","75","29","38","12","6","6","0","0","17","22","30","120","74","46","17","24","41.46"
"557","Nick Suzuki","MTL","C","82","1364.1833333333","20","25","15","10","45","63.38","130","15.38","15.24","240","196","146","63","11","15","30","14","14","0","0","18","52","37","56","92","41","571","543","51.26"
"644","Noah Dobson","NYI","D","79","1611.5833333333","9","36","20","16","45","52.33","153","5.88","5.29","373","221","88","11","10","25","32","16","16","0","0","6","53","29","67","131","158","0","0","-"
"14","Anze Kopitar","L.A","C","80","1178.8166666667","16","28","16","12","44","67.69","95","16.84","11.38","175","132","100","52","3","12","22","7","6","0","1","11","29","41","31","60","57","626","485","56.35"
"77","John Tavares","TOR","C","79","1169.5166666667","19","25","15","10","44","69.84","190","10.00","24.89","344","266","220","123","9","43","26","13","13","0","0","20","45","34","115","93","37","635","438","59.18"
"116","Charlie Coyle","BOS","C","82","1128.95","17","27","14","13","44","80.00","104","16.35","13.41","191","153","119","66","9","22","32","16","16","0","0","20","31","41","105","57","50","576","513","52.89"
"380","Pavel Zacha","BOS","C","78","1061.8166666667","15","29","13","16","44","65.67","93","16.13","11.03","165","136","112","58","9","11","16","8","8","0","0","13","27","19","86","54","30","431","369","53.88"
"382","Jack Eichel","VGK","C","62","904.91666666667","20","24","12","12","44","80.00","179","11.17","15.66","275","229","139","56","18","25","21","5","3","1","1","20","35","45","20","63","49","336","393","46.09"
"591","Drake Batherson","OTT","R","82","1237","21","23","18","5","44","74.58","152","13.82","15.76","311","228","158","68","15","27","40","16","15","0","1","13","34","45","82","77","33","34","50","40.48"
"705","Cole Caufield","MTL","R","82","1296.4666666667","19","25","18","7","44","65.67","239","7.95","21.46","434","328","202","66","9","39","14","7","7","0","0","19","34","31","50","64","20","7","9","43.75"
"774","Seth Jarvis","CAR","C","81","1115.0333333333","18","26","16","10","44","61.11","114","15.79","16.07","221","173","151","78","9","20","8","4","4","0","0","14","31","33","88","145","34","80","92","46.51"
"160","Blake Coleman","CGY","C","77","1127.9333333333","22","21","8","13","43","70.49","163","13.50","21.59","301","223","165","73","17","33","61","25","23","1","1","21","28","37","108","51","49","29","33","46.77"
"168","William Karlsson","VGK","C","69","907.63333333333","22","21","14","7","43","71.67","126","17.46","14.5","224","172","126","62","7","23","20","6","5","0","1","17","29","35","36","66","34","419","334","55.64"
"335","Adrian Kempe","L.A","R","76","1071.3666666667","19","24","13","11","43","74.14","176","10.80","14.47","348","245","150","47","6","26","64","27","26","0","1","30","18","21","87","60","26","0","6","0.00"
"618","Joel Farabee","PHI","L","82","1135.3666666667","20","23","18","5","43","82.69","154","12.99","14.42","266","215","141","65","16","19","31","10","8","1","1","13","26","28","55","71","50","20","42","32.26"
"715","Jack Hughes","N.J","C","62","1059.7166666667","18","25","16","9","43","76.79","210","8.57","20.28","391","282","201","57","11","43","10","5","5","0","0","25","58","60","8","46","24","100","181","35.59"
"750","Matias Maccelli","ARI","L","81","1160.1333333333","14","29","17","12","43","75.44","122","11.48","15.57","241","173","129","60","10","22","6","3","3","0","0","12","50","20","23","71","20","5","7","41.67"
"809","JJ Peterka","BUF","R","82","1184.5166666667","25","18","8","10","43","66.15","197","12.69","19.18","370","277","180","70","15","24","28","10","9","0","1","24","25","38","26","91","18","3","12","20.00"
"29","Claude Giroux","OTT","R","82","1246.15","16","26","15","11","42","66.67","139","11.51","13.21","268","189","132","63","12","26","22","11","11","0","0","21","32","46","30","48","24","384","304","55.81"
"135","Tyler Seguin","DAL","C","68","929.25","22","20","9","11","42","75.00","133","16.54","15.26","233","183","138","71","8","18","18","9","9","0","0","6","21","17","52","36","16","282","209","57.43"
