"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"133","Mikael Granlund","S.J","C","68","148.18333333333","2.1791666666667","8.1","124.71","6.10","7.29","93.53","7.23","5.26","62.76","7.74","0.4","9.72","4.00","0.59","9.72","5.76","4.86","67.62","6.70","3.24","29.56","9.88","0","4.45","0.00","2.16","50.75","4.08","0.54","3.78","12.50","2.34","135.69","1.69","0","3.51","0.00","7.69","84.52","0.922","0.81","6.88","49.8","35.23","1.60","0.81","8.91","70.05","1.14"
"348","Jake Middleton","MIN","D","79","179.48333333333","2.27194092827","6.35","124.69","4.85","5.68","90.93","5.88","5.35","68.86","7.21","0","7.35","0.00","0.3","9.07","3.22","2.01","74.21","2.63","1.67","27.75","5.68","0","4.01","0.00","0.45","61.96","0.71","0","2.67","0.00","1.93","110.58","1.72","0","1.93","0.00","0.00","89.32","0.893","0.33","6.35","29.08","38.11","1.14","1","8.69","50.48","1.95"
"162","William Karlsson","VGK","C","69","130.95","1.8978260869565","19.24","124.63","13.38","17.87","89.35","16.67","13.29","59.11","18.35","0.92","7.33","11.11","1.25","8.7","12.60","11","68.73","13.79","5.5","26.58","17.14","0","3.21","0.00","7.33","56.2","11.54","1.22","3.67","25.00","7.94","129.06","5.80","0","1.99","0.00","6.90","87.60","0.945","0.46","5.96","45.82","27.95","0.99","1.37","7.33","62.77","2.14"
"142","Michael Sgarbossa","WSH","C","25","5.3","0.212","22.64","124.53","15.38","22.64","90.57","20.00","22.64","67.92","25.00","0","11.32","0.00","1.86","18.81","9.01","11.32","101.89","10.00","11.32","56.6","16.67","0","11.32","0.00","0","60.38","0.00","0","0","-","16.35","32.7","33.33","0","0","-","0.00","83.33","0.833","0","0","22.64","90.57","0.00","0","0","22.64","0.00"
"173","Jamie Oleksiak","SEA","D","81","240.63333333333","2.9707818930041","11.97","124.42","8.78","11.72","86.77","11.90","8.98","54.61","14.12","0.5","7.73","6.06","1.12","8.62","11.45","5.49","63.08","8.00","2.49","23.19","9.71","0","3.74","0.00","3.99","53.19","6.98","0.33","3.32","9.09","5.76","139.74","3.96","0.36","2.16","14.29","5.56","85.84","0.914","0.25","3.99","35.91","13.22","0.69","1.99","8.23","61.84","3.13"
"756","Simon Edvinsson","DET","D","16","19.3","1.20625","9.33","124.35","6.98","6.22","93.26","6.25","3.11","68.39","4.35","0","3.11","0.00","0.3","7.7","3.70","3.11","55.96","5.26","0","31.09","0.00","0","0","-","4.15","33.16","11.11","0","4.15","0.00","13.47","121.24","10.00","0","0","-","0.00","95.45","0.955","0","3.11","27.98","55.96","0.00","3.11","3.11","34.2","8.33"
"347","Jake Evans","MTL","C","82","261.3","3.1865853658537","8.96","124.23","6.72","8.27","91.85","8.26","7.58","67.74","10.06","0.92","9.41","8.89","0.36","10.98","3.20","3.44","74.17","4.44","1.61","39.49","3.91","0.69","5.28","11.54","2.45","46.23","5.03","0.31","2.76","10.00","2.99","118.41","2.46","0","2.99","0.00","12.12","86.10","0.982","1.15","7.12","41.79","25.49","2.67","1.61","10.56","63.83","2.46"
"744","Scott Morrow","CAR","D","2","0.48333333333333","0.24166666666667","0","124.14","0.00","0","124.14","0.00","0","124.14","0.00","0","0","-","0","13.06","0.00","0","124.14","0.00","0","0","-","0","0","-","0","165.52","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","0","248.28","-","0","0","124.14","0.00"
"86","Tomas Tatar","COL, SEA","L","69","19.35","0.2804347826087","12.4","124.03","9.09","6.2","86.82","6.67","6.2","62.02","9.09","0","0","-","0.42","10.45","3.86","6.2","77.52","7.41","0","34.11","0.00","0","0","-","8.27","57.88","12.50","0","0","-","4.48","89.58","4.76","0","0","-","0.00","100.00","1.000","0","18.6","21.71","77.52","0.00","0","18.6","24.81","0.00"
"298","Pierre-Edouard Bellemare","SEA","L","39","72.216666666667","1.8517094017094","8.31","123.79","6.29","8.31","82.25","9.17","7.48","57.33","11.54","0.83","9.14","8.33","0.37","8.77","4.01","2.49","63.14","3.80","0.83","25.76","3.13","0.83","4.15","16.67","2.22","49.85","4.26","0","1.11","0.00","4.8","133.21","3.48","0","6","0.00","11.11","84.06","0.952","1.66","7.48","48.19","27.42","3.33","1.66","9.14","62.31","2.60"
"22","Erik Johnson","BUF, PHI","D","67","162.55","2.4261194029851","13.66","123.65","9.95","11.07","92.28","10.71","9.97","68.66","12.68","1.11","9.6","10.34","0.74","8.89","7.73","5.17","68.29","7.04","1.85","28.79","6.02","0.37","2.95","11.11","4.43","52.66","7.76","0.49","4.43","10.00","6.93","138.62","4.76","0","4.8","0.00","11.11","86.02","0.971","1.11","7.01","46.88","19.19","2.31","3.69","11.81","71.61","4.90"
