"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"914","Uvis Balinskis","FLA","D","26","366.63333333333","14.101282051282","55.31","50.9","52.08","37.97","38.62","49.57","27.66","28.31","49.42","1.64","1.64","50.00","2.09","2.32","47.36","23.73","24.38","49.32","9","10.8","45.45","0.98","0.98","50.00","19.64","18.11","52.02","0.65","0.22","75.00","49.4","39.48","55.59","0.24","0.71","25.00","5.92","94.22","1.001","8.67","11.46","8.84","52.86","49.53","18.49","18.33","15.55","54.33"
"389","Mikko Rantanen","COL","R","79","1813.2","22.951898734177","80.31","50.86","61.23","58.41","37.19","61.09","41.43","26.24","61.22","5.49","2.85","65.87","4.45","2.58","63.26","41.43","22.63","64.67","16.18","9.83","62.21","2.71","1.32","67.21","33.66","17.07","66.35","2.12","1.06","66.67","75.28","42.35","64.00","1.43","0.81","63.83","13.26","89.16","1.024","16.45","10.16","5.36","28.89","75.42","35.01","15.32","13.4","72.32"
"899","Pavol Regenda","ANA","L","5","57.816666666667","11.563333333333","46.7","50.85","47.87","36.32","34.25","51.47","26.98","23.87","53.06","0","1.04","0.00","1.98","2.01","49.59","22.83","22.83","50.00","9.34","9.34","50.00","0","0","-","17.99","17.99","50.00","0","0","-","38.97","49.47","44.07","0","1.5","0.00","0.00","95.65","0.957","13.49","11.42","7.26","45.66","65.00","17.64","16.6","12.45","58.62"
"96","Craig Smith","DAL","C","74","756.68333333333","10.22545045045","63.28","50.83","55.46","45.59","35.36","56.32","30.77","24.26","55.91","2.3","2.14","51.79","2.64","1.97","57.28","27.36","21.57","55.92","11.34","9.28","55.00","1.03","1.27","44.83","21.36","16.39","56.58","1.16","0.74","61.11","51.54","44.67","53.57","0.57","0.46","55.56","7.47","91.18","0.987","4.68","14.03","7.29","58.52","39.07","11.34","20.3","17.37","39.50"
"554","Elias Pettersson","VAN","C","81","1592.9666666667","19.666255144033","69.53","50.77","57.80","50.58","36.84","57.86","33.71","25.57","56.86","5.16","2.75","65.24","4.27","2.81","60.34","35.97","24.22","59.76","16.54","11.15","59.73","2.71","1.47","64.86","25.91","17.43","59.79","1.66","1.05","61.11","62.62","43.25","59.15","1.52","0.54","73.68","15.31","89.25","1.046","12.81","9.49","9.64","41.06","57.05","24.63","13.82","17.29","58.76"
"218","Shayne Gostisbehere","DET","D","81","1546.0833333333","19.087448559671","65.51","50.76","56.34","46.76","38.19","55.05","32.95","26.78","55.17","3.57","2.6","57.86","3.53","2.68","56.82","32.33","23.67","57.73","11.49","9","56.06","1.55","1.36","53.33","27.79","19.56","58.69","1.76","0.98","64.15","60.99","40.42","60.14","0.84","0.45","65.22","10.84","90.29","1.011","11.6","11.29","5.98","39.08","66.00","25.11","16.61","13.47","65.09"
"703","Nils Hoglander","VAN","L","79","953.9","12.074683544304","60.89","50.76","54.54","43.4","36.73","54.16","28.56","24.53","53.79","3.46","1.95","63.95","2.86","2.32","55.19","27.99","22.71","55.21","12.83","9.43","57.63","2.2","0.88","71.43","20.21","17.7","53.32","0.84","1.09","43.48","49.61","43.88","53.06","0.82","0.27","75.00","12.11","92.05","1.042","9.06","11.32","7.11","59.44","56.03","16.17","16.73","15.47","51.09"
"488","Jordan Kyrou","STL","C","81","1486.3666666667","18.350205761317","70.32","50.66","58.12","51.83","37.78","57.84","35.85","25.88","58.08","3.83","3.11","55.23","3.75","2.98","55.68","36.33","24.34","59.88","13.4","10.5","56.08","1.82","1.49","54.88","30.57","18.46","62.35","2.1","1.08","66.10","64.26","41.05","61.02","0.64","0.7","47.83","10.70","87.99","0.987","13.64","11.34","6.82","34.47","66.67","28.3","15.66","13.36","67.93"
"672","Scott Perunovich","STL","D","53","801.81666666667","15.128616352201","60.91","50.66","54.59","44.97","37.42","54.59","31.5","25.67","55.10","3.37","2.47","57.69","3.09","2.57","54.60","28.59","24.32","54.03","11.22","11.07","50.34","1.8","1.12","61.54","23.15","17.66","56.72","1.6","1.1","59.26","57.94","37.4","60.77","0.54","0.65","45.45","10.69","90.38","1.011","11.22","9.05","3.52","49.46","76.14","22.67","13.54","9.13","71.29"
"265","Oliver Bjorkstrand","SEA","R","81","1312.6833333333","16.205967078189","73.09","50.64","59.07","50.19","38.17","56.80","32.86","25.96","55.87","3.43","3.02","53.19","3.48","2.52","58.03","35.1","22.4","61.05","13.71","8.68","61.22","1.83","1.37","57.14","28.52","18.28","60.94","1.1","0.79","58.06","62.79","43.97","58.81","1.06","1.06","50.00","10.43","88.38","0.988","13.03","11.79","6.81","41.55","65.67","23.22","16.23","13.8","62.72"
