"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"250","Carter Verhaeghe","FLA","C","76","3.0333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.27","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","1","1","50.00","0","1","0.00","-","0.00","0.00","1","1","0","11","100.00","1","1","0","100.00"
"261","Adam Erne","EDM","L","23","4.5166666666667","0","9","0.00","0","3","0.00","0","3","0.00","0","0","-","0","0.24","0.00","0","5","0.00","0","1","0.00","0","0","-","0","4","0.00","0","0","-","0","6","0.00","0","0","-","-","100.00","1.00","0","0","2","7","0.00","0","0","2","0.00"
"263","Robert Hagg","ANA","D","5","0.65","0","3","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.16","0.00","0","3","0.00","0","0","-","0","0","-","0","3","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","1","0.00","0","0","1","0.00"
"266","William Carrier","VGK","L","39","2.4333333333333","0","3","0.00","0","3","0.00","0","3","0.00","0","0","-","0","0.1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","1","4","0.00","0","0","2","0.00"
"267","Tyler Bertuzzi","TOR","L","79","0.83333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.07","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","3","6","0.00","0","0","3","0.00"
"272","Jonathan Drouin","COL","L","78","0.51666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.04","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","0","5","-","0","0","0","-"
"286","Anthony Mantha","VGK, WSH","R","74","1.25","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.07","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","-","0.00","0.00","0","0","1","7","0.00","0","0","1","0.00"
"306","Nikolaj Ehlers","WPG","L","81","0.53333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.07","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","2","0","2","-","0","2","0","-"
"307","Kevin Fiala","L.A","L","81","2.8333333333333","0","4","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.3","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","1","2","1","8","50.00","0","2","1","0.00"
"315","Robby Fabbri","DET","C","68","2.2833333333333","0","6","0.00","0","2","0.00","0","0","-","0","0","-","0","0.12","0.00","0","4","0.00","0","0","-","0","0","-","0","4","0.00","0","0","-","0","3","0.00","0","0","-","-","-","-","0","0","3","5","0.00","0","0","3","0.00"
"320","Ivan Barbashev","VGK","C","81","1.6","0","2","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.12","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","2","11","0.00","1","0","3","25.00"
"332","Michael Amadio","VGK","R","72","6.0333333333333","0","9","0.00","0","8","0.00","0","7","0.00","0","0","-","0","0.54","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","7","0.00","0","0","-","-","100.00","1.00","0","0","1","12","0.00","0","0","4","0.00"
"339","Michael Bunting","CAR, PIT","L","80","0.76666666666667","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.08","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","7","-","1","0","1","50.00"
"340","Max Willman","N.J","C","18","0.033333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","0","0.00","0","0","1","0.00"
"375","Dylan Strome","WSH","C","82","1.95","0","4","0.00","0","4","0.00","0","3","0.00","0","1","0.00","0","0.24","0.00","0","2","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","1","2","33.33","0","0","-","-","66.67","0.67","1","1","1","16","50.00","1","1","1","50.00"
"377","Brock Boeser","VAN","R","81","1.35","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.06","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","0","0","-","0","0","-","-","0.00","0.00","0","1","0","8","-","0","1","0","-"
"378","Mathew Barzal","NYI","C","80","3.45","0","3","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.19","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","1","1","50.00","0","0","-","-","100.00","1.00","1","0","2","7","33.33","1","0","3","25.00"
"382","Ethan Bear","WSH","D","24","2.7666666666667","0","4","0.00","0","4","0.00","0","1","0.00","0","0","-","0","0.44","0.00","0","3","0.00","0","2","0.00","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","2","7","0.00","0","0","2","0.00"
"383","Caleb Jones","COL","D","24","4.5833333333333","0","6","0.00","0","4","0.00","0","3","0.00","0","1","0.00","0","0.71","0.00","0","4","0.00","0","3","0.00","0","1","0.00","0","1","0.00","0","0","-","0","3","0.00","0","0","-","-","66.67","0.67","0","0","0","11","-","0","0","1","0.00"
"388","Anthony Beauvillier","CHI, NSH, VAN","L","60","1.9833333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.09","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","1","0","100.00","0","0","-","-","0.00","0.00","1","0","1","6","50.00","1","0","1","50.00"
"402","Austin Czarnik","DET","C","34","5.5","0","4","0.00","0","4","0.00","0","4","0.00","0","0","-","0","0.3","0.00","0","3","0.00","0","0","-","0","0","-","0","3","0.00","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","1","0","13","-","0","1","0","-"
"404","Evan Rodrigues","FLA","C","80","7.2333333333333","0","4","0.00","0","3","0.00","0","2","0.00","0","1","0.00","0","0.17","0.00","0","3","0.00","0","0","-","0","0","-","0","3","0.00","0","0","-","0","1","0.00","0","1","0.00","-","50.00","0.50","0","2","2","9","0.00","0","2","2","0.00"
"415","Troy Terry","ANA","R","75","4.5833333333333","0","4","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0","0.93","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","1","0.00","0","0","-","-","50.00","0.50","1","0","1","26","50.00","1","0","1","50.00"
"422","Mason Marchment","DAL","L","80","2.55","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.06","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","-","-","0","1","1","11","0.00","0","1","1","0.00"
"431","Max Lajoie","TOR","D","7","1.6833333333333","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0.07","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","-","-","0","1","1","0","0.00","0","1","1","0.00"
"432","Lucas Johansen","WSH","D","6","2.2333333333333","0","5","0.00","0","3","0.00","0","1","0.00","0","0","-","0","0.32","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","4","0.00","0","0","-","-","100.00","1.00","0","0","0","4","-","0","0","0","-"
"436","Julien Gauthier","NYI","R","27","2","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","1","2","0.00","0","0","1","0.00"
"439","Alex DeBrincat","DET","R","82","2.5166666666667","0","2","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.28","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0","-","0","0","-","1","1","50.00","0","0","-","-","100.00","1.00","0","1","1","14","0.00","1","1","1","50.00"
"441","Clayton Keller","ARI","R","77","2.0833333333333","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","5","0.00","0","0","-","-","-","-","0","0","4","13","0.00","0","0","4","0.00"
"470","Jacob MacDonald","S.J","D","34","0.75","0","5","0.00","0","4","0.00","0","2","0.00","0","0","-","0","0.4","0.00","0","4","0.00","0","2","0.00","0","0","-","0","2","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","1","0","2","0","33.33","1","0","2","33.33"
"474","Hardy Haman Aktell","WSH","D","6","0.41666666666667","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.12","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"476","Joona Koppanen","PIT","L","4","1.5166666666667","0","2","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.05","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","0","2","-","0","0","1","0.00"
"481","Matthew Phillips","PIT, WSH","R","31","0.96666666666667","0","3","0.00","0","3","0.00","0","1","0.00","0","0","-","0","0.32","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","1","2","33.33","0","0","-","-","100.00","1.00","1","0","0","2","100.00","1","0","0","100.00"
"486","Tanner Jeannot","T.B","L","54","0.91666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.08","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","1","0.00","0","0","-","0","0","-","-","0.00","0.00","0","0","0","3","-","0","0","0","-"
"492","Mason Shaw","MIN","C","20","1.3833333333333","0","2","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"494","Kailer Yamamoto","SEA","R","59","4.0333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","-","0.00","0.00","0","1","0","4","-","0","2","0","-"
"499","Cal Foote","N.J","D","4","4.7833333333333","0","3","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","0","-","0","0","-","-","-","-","0","0","0","5","-","0","0","1","0.00"
"503","Cody Glass","NSH","C","41","3.0333333333333","0","4","0.00","0","3","0.00","0","2","0.00","0","1","0.00","0","0.28","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","3","0.00","0","1","0.00","-","50.00","0.50","1","0","2","10","33.33","1","1","2","33.33"
"505","Casey Mittelstadt","BUF, COL","C","79","7.4833333333333","0","9","0.00","0","8","0.00","0","5","0.00","0","0","-","0","0.48","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","13","0.00","0","0","-","-","100.00","1.00","0","0","9","15","0.00","0","0","12","0.00"
"508","Jesper Boqvist","BOS","C","47","5.9833333333333","0","5","0.00","0","4","0.00","0","3","0.00","0","0","-","0","0.4","0.00","0","2","0.00","0","1","0.00","0","0","-","0","1","0.00","0","0","-","0","3","0.00","0","0","-","-","100.00","1.00","0","0","3","11","0.00","0","0","3","0.00"
"511","Klim Kostin","DET, S.J","C","51","1.95","0","4","0.00","0","4","0.00","0","3","0.00","0","0","-","0","0.55","0.00","0","3","0.00","0","1","0.00","0","0","-","0","2","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","1","3","0.00","1","0","1","50.00"
"519","Jason Robertson","DAL","L","81","3.6333333333333","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.13","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","-","0.00","0.00","0","0","0","7","-","0","0","0","-"
