"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"615","Quinn Hughes","VAN","D","74","1492.9833333333","1639","1226","57.21","1142","940","54.85","753","670","52.92","101","60","62.73","77.67","66.98","53.70","799","597","57.23","343","299","53.43","58","36","61.70","456","298","60.48","25","15","62.50","1019","658","60.76","15","7","68.18","13.41","91.04","1.045","225","256","147","991","60.48","531","397","338","61.10"
"709","Jack Hughes","N.J","C","59","1002.6666666667","1211","906","57.20","868","695","55.53","610","495","55.20","51","65","43.97","58.79","56.6","50.95","578","429","57.40","205","177","53.66","24","29","45.28","373","252","59.68","19","22","46.34","737","484","60.36","8","9","47.06","8.36","86.87","0.952","201","162","66","760","75.28","390","253","176","68.90"
"820","Alex Steeves","TOR","C","1","9.3333333333333","8","6","57.14","8","3","72.73","4","2","66.67","0","1","0.00","0.6","0.22","72.97","4","4","50.00","2","1","66.67","0","0","-","2","3","40.00","0","1","0.00","5","1","83.33","0","0","-","0.00","50.00","0.500","1","4","0","8","100.00","2","6","2","50.00"
"170","Ryan Nugent-Hopkins","EDM","C","72","1048.6333333333","1238","930","57.10","913","659","58.08","643","461","58.24","64","56","53.33","71.21","49.99","58.75","654","465","58.45","318","181","63.73","40","26","60.61","336","284","54.19","18","18","50.00","708","505","58.37","6","7","46.15","9.95","87.85","0.978","237","193","145","668","62.04","427","280","304","58.41"
"176","Sean Couturier","PHI","C","70","988.76666666667","1179","890","56.98","817","591","58.03","573","425","57.41","51","62","45.13","49.33","45.06","52.26","510","419","54.90","220","166","56.99","28","35","44.44","290","253","53.41","13","18","41.94","739","531","58.19","9","9","50.00","8.90","85.41","0.943","164","234","166","705","49.70","366","333","315","53.74"
"561","Miro Heiskanen","DAL","D","64","1303.0833333333","1493","1127","56.98","1058","827","56.13","703","550","56.11","72","62","53.73","67.32","49.64","57.56","692","466","59.76","292","194","60.08","37","32","53.62","400","272","59.52","24","18","57.14","970","727","57.16","11","9","55.00","10.24","88.73","0.990","239","260","173","783","58.01","583","396","393","59.73"
"356","Michael Bunting","CAR, PIT","L","74","935.5","1112","841","56.94","786","642","55.04","524","455","53.52","38","53","41.76","44.12","47.53","48.14","468","417","52.88","177","175","50.28","24","27","47.06","291","242","54.60","7","21","25.00","696","432","61.70","7","2","77.78","7.25","88.35","0.956","191","164","71","753","72.90","367","250","193","65.54"
"82","Oliver Ekman-Larsson","FLA","D","76","1148","1292","981","56.84","891","736","54.76","624","488","56.12","53","42","55.79","59.29","46.87","55.85","582","441","56.89","237","210","53.02","23","23","50.00","345","231","59.90","17","13","56.67","799","583","57.81","13","5","72.22","8.49","91.39","0.999","198","269","127","947","60.92","427","403","297","58.98"
"114","Tyler Toffoli","N.J, WPG","C, R","72","995.63333333333","1230","934","56.84","886","720","55.17","601","507","54.24","58","65","47.15","57.65","61.13","48.54","568","448","55.91","213","186","53.38","29","30","49.15","355","262","57.54","20","22","47.62","738","473","60.94","7","8","46.67","9.65","87.18","0.968","206","199","85","895","70.79","389","300","188","67.42"
"617","Ryan McLeod","EDM","C","72","898.4","955","726","56.81","699","529","56.92","496","360","57.94","35","25","58.33","44.49","34.24","56.51","470","343","57.81","187","151","55.33","20","16","55.56","283","192","59.58","12","8","60.00","504","429","54.02","2","1","66.67","7.06","93.06","1.001","113","219","132","652","46.12","236","309","241","49.48"
