"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"511","Jalen Chatfield","CAR","D","78","1028.8666666667","13.190598290598","63.33","42.34","59.93","47.47","31.67","59.99","32.66","22.51","59.20","2.92","1.87","60.98","3.14","2","61.02","31.49","20.41","60.67","14.4","10.26","58.39","1.28","1.22","51.16","22.78","13.53","62.74","1.63","0.62","72.41","39.59","25.86","60.49","0.59","0.25","70.00","8.93","91.71","1.006","9.39","13.94","7.11","47.82","56.89","21.93","21.29","17.15","56.12"
"221","Stefan Noesen","CAR","R","78","749.43333333333","9.6081196581197","69.25","42.19","62.14","52.04","30.58","62.98","33.95","21.06","61.72","2.56","1.44","64.00","3.5","2.18","61.70","35.31","19.94","63.91","15.85","10.33","60.55","1.28","0.64","66.67","25.94","12.81","66.94","1.17","0.75","61.11","42.56","25.44","62.59","0.58","0.23","71.43","7.55","93.16","1.007","14.49","14.17","6.24","48.6","69.88","26.18","19.53","14.73","63.99"
"513","Philippe Myers","T.B","D","11","121.21666666667","11.019696969697","71.28","42.07","62.88","52.96","34.65","60.45","41.58","29.2","58.74","3.46","3.46","50.00","3.04","1.82","62.47","34.15","18.81","64.49","11.38","5.44","67.65","0.99","0.99","50.00","30.36","17.82","63.01","0.66","3.3","16.67","56.48","30.03","65.29","2.86","0","100.00","8.33","88.14","0.965","4.45","11.38","2.97","61.87","60.00","17.82","17.82","10.39","63.16"
"833","Jordan Spence","L.A","D","6","76.25","12.708333333333","63.74","41.7","60.45","46.43","24.39","65.56","33.05","20.46","61.76","2.36","1.57","60.00","3.12","1.79","63.54","35.41","25.97","57.69","18.89","9.44","66.67","1.57","0.79","66.67","22.03","22.03","50.00","1.05","1.05","50.00","52.28","22.73","69.70","0","0","-","7.14","92.31","0.995","11.8","6.3","6.3","44.07","65.22","18.89","11.02","12.59","60.00"
"38","Jordan Staal","CAR","C","81","1105.5833333333","13.649176954733","64.8","41.68","60.86","47.54","31.86","59.88","31.69","22.68","58.28","2.71","2.44","52.63","3.12","2.33","57.23","31.59","20.51","60.63","14.87","10.04","59.69","1.52","1.47","50.91","22.29","13.97","61.48","1.01","0.8","56.00","42.8","25.48","62.69","0.47","0.47","50.00","8.56","89.23","0.978","12.05","18.45","10.53","39.4","53.37","22.74","23.72","21.11","51.86"
"729","Jack Drury","CAR","C","38","369.66666666667","9.7280701754386","75.8","41.23","64.77","55.67","30.35","64.72","38.47","22.24","63.37","2.27","1.79","56.00","3.18","1.83","63.52","33.6","20.29","62.35","14.93","8.28","64.34","0.32","1.14","22.22","24.89","16.01","60.85","1.08","0.65","62.50","50.64","22.74","69.01","1.41","0","100.00","5.91","91.97","0.979","10.39","15.58","6.65","46.26","60.95","20.78","19.96","14.45","58.99"
"410","CJ Suess","S.J","L","1","5.8333333333333","5.8333333333333","30.86","41.14","42.86","30.86","20.57","60.00","20.57","20.57","50.00","0","10.29","0.00","2.34","2.16","52.03","20.57","10.29","66.67","10.29","10.29","50.00","0","10.29","0.00","13.71","0","100.00","0","0","-","29.71","44.57","40.00","0","0","-","0.00","50.00","0.500","10.29","0","0","92.57","100.00","20.57","0","0","100.00"
"83","Derek Stepan","CAR","C","73","609.56666666667","8.3502283105023","76.09","41.05","64.96","57.39","30.91","64.99","37.9","22.34","62.91","2.17","1.48","59.46","3.49","1.85","65.40","36.52","18.9","65.90","14.96","8.96","62.55","0.98","0.89","52.63","28.74","13.26","68.44","0.92","0.79","53.85","49.34","25.59","65.84","0.71","0","100.00","5.71","93.39","0.991","15.16","14.08","7.87","46.26","65.81","26.87","18.5","17.13","61.07"
"787","Taro Hirose","DET","L","3","30.983333333333","10.327777777778","23.24","40.67","36.36","21.3","29.05","42.31","17.43","19.37","47.37","0","3.87","0.00","1.34","1.09","55.04","13.56","13.56","50.00","11.62","3.87","75.00","0","1.94","0.00","2.58","12.91","16.67","0","0","-","11.19","33.57","25.00","0","2.8","0.00","0.00","80.00","0.800","7.75","17.43","3.87","52.29","66.67","11.62","23.24","11.62","50.00"
"866","Tyler Kleven","OTT","D","8","105.3","13.1625","69.52","40.46","63.21","55.84","27.92","66.67","38.18","19.94","65.69","2.85","3.42","45.45","2.99","2.16","58.01","30.77","18.23","62.79","14.25","8.55","62.50","2.28","1.71","57.14","22.03","12.92","63.04","0.76","1.52","33.33","50.21","27.98","64.21","0","0.82","0.00","7.46","82.86","0.903","11.4","10.83","6.84","51.28","62.50","28.49","15.95","13.11","68.49"
"851","Lukas Rousek","BUF","R","2","22.616666666667","11.308333333333","50.41","39.79","55.88","37.14","31.83","53.85","31.83","21.22","60.00","7.96","2.65","75.00","3.02","1.61","65.25","29.18","21.22","57.89","13.26","7.96","62.50","7.96","0","100.00","21.22","17.69","54.55","0","0","-","26.82","22.99","53.85","0","3.83","0.00","25.00","87.50","1.125","21.22","13.26","5.31","39.79","80.00","29.18","18.57","10.61","73.33"
"541","Tyler Benson","EDM","L","2","12.066666666667","6.0333333333333","34.81","39.78","46.67","19.89","24.86","44.44","4.97","19.89","20.00","0","0","-","1.1","2.62","29.64","14.92","14.92","50.00","4.97","4.97","50.00","0","0","-","13.26","13.26","50.00","0","0","-","21.55","28.73","42.86","0","0","-","0.00","100.00","1.000","9.94","4.97","4.97","69.61","66.67","9.94","4.97","19.89","33.33"
"700","Kristian Reichel","WPG","C","2","21.116666666667","10.558333333333","36.94","39.78","48.15","34.1","25.57","57.14","22.73","25.57","47.06","2.84","2.84","50.00","1.51","1.14","57.08","19.89","19.89","50.00","2.84","2.84","50.00","2.84","2.84","50.00","22.73","22.73","50.00","0","0","-","24.63","28.73","46.15","0","0","-","12.50","88.89","1.014","2.84","28.41","11.37","51.14","20.00","11.37","31.25","22.73","33.33"
