"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"452","Joel Eriksson Ek","MIN","C","78","161.13333333333","2.065811965812","11.92","121.39","8.94","11.17","86.39","11.45","8.94","64.42","12.18","1.86","8.19","18.52","0.84","8.25","9.24","5.21","65.54","7.37","2.98","23.09","11.43","0.74","2.98","20.00","2.98","56.6","5.00","0.99","5.96","14.29","3.76","87.67","4.12","0","1.08","0.00","20.83","87.28","1.081","0.37","7.07","67.4","5.59","0.55","0.37","11.92","86.76","0.43"
"518","Andrew Peeke","CBJ","D","80","248.65","3.108125","15.68","121.38","11.44","13.51","96.04","12.33","11.58","65.88","14.95","0.24","10.38","2.27","0.71","9.38","7.03","6.52","69.5","8.57","2.41","27.51","8.06","0.24","3.38","6.67","5.47","55.98","8.90","0","5.15","0.00","5.93","75.29","7.30","0","4.53","0.00","2.08","84.25","0.863","0.24","3.62","34.99","10.38","0.68","2.65","8.2","63.46","4.01"
"552","Casey Fitzgerald","BUF, FLA","D","27","42.116666666667","1.5598765432099","29.92","121.09","19.81","24.22","96.87","20.00","17.1","72.66","19.05","2.85","9.97","22.22","2.64","9.28","22.15","19.94","66.96","22.95","14.25","24.22","37.04","2.85","2.85","50.00","7.6","56.98","11.76","0","5.7","0.00","8.23","82.31","9.09","0","4.12","0.00","16.67","86.27","1.029","1.42","7.12","31.34","65.53","4.35","4.27","8.55","41.31","9.38"
"597","Max Comtois","ANA","L","64","7.4333333333333","0.11614583333333","8.07","121.08","6.25","8.07","88.79","8.33","0","64.57","0.00","0","16.14","0.00","1.13","6.99","13.96","8.07","64.57","11.11","8.07","32.29","20.00","0","8.07","0.00","0","43.05","0.00","0","0","-","0","69.96","0.00","0","11.66","0.00","-","75.00","0.75","0","0","8.07","96.86","0.00","0","0","8.07","0.00"
"166","Sam Carrick","ANA","C","52","39.183333333333","0.75352564102564","7.66","120.97","5.95","4.59","102.59","4.29","4.59","84.22","5.17","0","4.59","0.00","0.26","11.17","2.28","1.53","85.75","1.75","1.53","38.28","3.85","0","0","-","0","63.29","0.00","0","2.04","0.00","2.21","57.51","3.70","0","4.42","0.00","0.00","94.55","0.945","0","3.06","59.72","50.53","0.00","1.53","6.13","75.03","2.00"
"317","William Carrier","VGK","L","56","9.45","0.16875","0","120.63","0.00","0","101.59","0.00","0","76.19","0.00","0","6.35","0.00","0","9.28","0.00","0","44.44","0.00","0","19.05","0.00","0","6.35","0.00","0","33.86","0.00","0","0","-","0","110.05","0.00","0","0","-","-","91.67","0.92","0","6.35","44.44","95.24","0.00","0","6.35","57.14","0.00"
"404","Frank Vatrano","ANA","R","81","76.133333333333","0.93991769547325","10.25","120.58","7.83","9.46","95.36","9.02","7.09","67.78","9.47","0","8.67","0.00","0.5","9.95","4.78","3.94","76.44","4.90","3.15","32.31","8.89","0","3.94","0.00","1.05","58.84","1.75","0","6.3","0.00","2.28","64.89","3.39","0","0","-","0.00","87.21","0.872","0.79","3.15","14.19","91.42","5.26","1.58","6.3","18.91","7.69"
"249","Chandler Stephenson","VGK","C","81","114.05","1.408024691358","14.73","120.47","10.89","12.63","87.33","12.63","10","62.08","13.87","2.63","7.89","25.00","1.77","8.1","17.89","10.52","65.23","13.89","8.94","25.25","26.15","2.63","2.63","50.00","2.1","53.31","3.80","0","3.51","0.00","3.8","78.27","4.63","0","3.8","0.00","26.32","87.29","1.136","1.58","3.16","41.03","39.98","3.70","2.63","4.73","57.87","4.35"
"328","Rasmus Ristolainen","PHI","D","74","159.2","2.1513513513514","13.57","120.23","10.14","11.68","86.31","11.92","9.8","59.92","14.05","1.88","10.18","15.63","0.71","9.07","7.22","6.78","64.45","9.52","2.64","30.15","8.05","0.75","5.28","12.50","5.53","45.73","10.78","0.5","2.51","16.67","4.36","86.01","4.82","1.09","4.36","20.00","19.23","83.02","1.022","0.75","7.16","44.47","30.15","1.67","1.51","10.55","68.59","2.15"
"331","Max Domi","CHI, DAL","C","80","1.5","0.01875","0","120","0.00","0","40","0.00","0","0","-","0","0","-","0","5.14","0.00","0","80","0.00","0","80","0.00","0","0","-","0","0","-","0","0","-","0","57.78","0.00","0","0","-","-","-","-","0","80","40","400","0.00","0","80","80","0.00"
